date,mad_eur
2010-01-01,11.30133
2010-02-01,11.21867
2010-03-01,11.2003826086957
2010-04-01,11.17853
2010-05-01,11.0509619047619
2010-06-01,11.0045681818182
2010-07-01,11.1010227272727
2010-08-01,11.115
2010-09-01,11.1387909090909
2010-10-01,11.2536142857143
2010-11-01,11.2222045454545
2010-12-01,11.1558
2011-01-01,11.1758
2011-02-01,11.222045
2011-03-01,11.2746739130435
2011-04-01,11.3336631578947
2011-05-01,11.3315227272727
2011-06-01,11.3326863636364
2011-07-01,11.3174095238095
2011-08-01,11.3305391304348
2011-09-01,11.2553045454545
2011-10-01,11.2389523809524
2011-11-01,11.2117409090909
2011-12-01,11.1542619047619
2012-01-01,11.1183409090909
2012-02-01,11.1635238095238
2012-03-01,11.1619454545455
2012-04-01,11.1558842105263
2012-05-01,11.0962772727273
2012-06-01,11.0485095238095
2012-07-01,11.0091727272727
2012-08-01,11.0247173913043
2012-09-01,11.107125
2012-10-01,11.124547826087
2012-11-01,11.1030272727273
2012-12-01,11.1451473684211
2013-01-01,11.1729409090909
2013-02-01,11.176505
2013-03-01,11.11821
2013-04-01,11.1313666666667
2013-05-01,11.1195090909091
2013-06-01,11.157105
2013-07-01,11.1410434782609
2013-08-01,11.1779363636364
2013-09-01,11.1898904761905
2013-10-01,11.2316086956522
2013-11-01,11.2101380952381
2013-12-01,11.24606
2014-01-01,11.2321636363636
2014-02-01,11.234215
2014-03-01,11.2528142857143
2014-04-01,11.256635
2014-05-01,11.2446428571429
2014-06-01,11.2271047619048
2014-07-01,11.2203695652174
2014-08-01,11.188019047619
2014-09-01,11.1239045454545
2014-10-01,11.0802391304348
2014-11-01,11.040345
2014-12-01,11.0199666666667
2015-01-01,10.8971095238095
2015-02-01,10.836335
2015-03-01,10.7237136363636
2015-04-01,10.721575
2015-05-01,10.859235
2015-06-01,10.8878818181818
2015-07-01,10.8026652173913
2015-08-01,10.8596857142857
2015-09-01,10.8966863636364
2015-10-01,10.9037954545455
2015-11-01,10.7131047619048
2015-12-01,10.7756954545455
2016-01-01,10.77041
2016-02-01,10.8601
2016-03-01,10.8624190476191
2016-04-01,10.9528428571429
2016-05-01,10.9419409090909
2016-06-01,10.9152
2016-07-01,10.8650761904762
2016-08-01,10.9108173913043
2016-09-01,10.9051863636364
2016-10-01,10.835180952381
2016-11-01,10.7479636363636
2016-12-01,10.653480952381
2017-01-01,10.6773
2017-02-01,10.690985
2017-03-01,10.7131043478261
2017-04-01,10.7374777777778
2017-05-01,10.8747
2017-06-01,10.9466954545455
2017-07-01,11.0476333333333
2017-08-01,11.1447347826087
2017-09-01,11.157180952381
2017-10-01,11.1047363636364
2017-11-01,11.1058090909091
2017-12-01,11.1635263157895
2018-01-01,11.2844636363636
2018-02-01,11.347225
2018-03-01,11.3252523809524
2018-04-01,11.303815
2018-05-01,11.1337863636364
2018-06-01,11.0898904761905
2018-07-01,11.0570636363636
2018-08-01,10.9417608695652
2018-09-01,10.958825
2018-10-01,10.8892826086957
2018-11-01,10.8052818181818
2018-12-01,10.8503263157895
2019-01-01,10.8823772727273
2019-02-01,10.82576
2019-03-01,10.8639476190476
2019-04-01,10.827345
2019-05-01,10.8222545454545
2019-06-01,10.847505
2019-07-01,10.7614565217391
2019-08-01,10.6704
2019-09-01,10.6644333333333
2019-10-01,10.6739913043478
2019-11-01,10.6660952380952
2019-12-01,10.691095
2020-01-01,10.6637818181818
2020-02-01,10.555905
2020-03-01,10.7143636363636
2020-04-01,10.987085
2020-05-01,10.74214
2020-06-01,10.8918409090909
2020-07-01,10.9316826086957
2020-08-01,10.9170095238095
2020-09-01,10.8691954545455
2020-10-01,10.8361363636364
2020-11-01,10.834552238806006
2020-12-01,10.832968113975612
2021-01-01,10.831383989145218
2021-02-01,10.829799864314825
2021-03-01,10.828215739484431
2021-04-01,10.826631614654037
2021-05-01,10.825047489823643
2021-06-01,10.823463364993248
2021-07-01,10.821879240162854
2021-08-01,10.82029511533246
2021-09-01,10.818710990502066
2021-10-01,10.817126865671673
2021-11-01,10.815542740841279
2021-12-01,10.813958616010884
2022-01-01,10.81237449118049
2022-02-01,10.810790366350096
2022-03-01,10.809206241519702
2022-04-01,10.807622116689307
2022-05-01,10.806037991858915
2022-06-01,10.80445386702852
2022-07-01,10.802869742198126
2022-08-01,10.801285617367732
2022-09-01,10.799701492537338
2022-10-01,10.798117367706944
2022-11-01,10.79653324287655
2022-12-01,10.794949118046155
2023-01-01,10.793364993215762
2023-02-01,10.791780868385368
2023-03-01,10.790196743554974
2023-04-01,10.78861261872458
2023-05-01,10.787028493894185
2023-06-01,10.785444369063791
2023-07-01,10.783860244233397
2023-08-01,10.782276119403004
2023-09-01,10.78069199457261
2023-10-01,10.779107869742216
2023-11-01,10.777523744911822
2023-12-01,10.775939620081427
2024-01-01,10.774355495251033
2024-02-01,10.772771370420639
2024-03-01,10.771187245590246
2024-04-01,10.769603120759852
2024-05-01,10.768018995929458
2024-06-01,10.766434871099063
2024-07-01,10.76485074626867
2024-08-01,10.763266621438275
2024-09-01,10.76168249660788
2024-10-01,10.760098371777486
2024-11-01,10.758514246947094
2024-12-01,10.7569301221167
