look_back,lstm_units_1,lstm_units_2,dropout,learning_rate,batch_size,rmse,mae,mape,epochs_run
12,64,16,0.2,0.001,16,1.3788523426672148,1.228272649024919,1.2074741596841405,23
12,64,16,0.1,0.0005,16,1.391167989388237,1.2485746110478981,1.2281099168024925,15
12,64,32,0.2,0.001,16,1.406158336846518,1.2399069784829972,1.2212996361861217,12
6,32,16,0.1,0.0005,16,1.4144408937605935,1.2362713909397485,1.2130386504812096,23
6,64,32,0.2,0.0005,16,1.4344398277581147,1.2462369987120194,1.225066151855251,20
12,32,16,0.2,0.001,16,1.442102927767787,1.2633689067016007,1.2390555790486255,20
6,64,32,0.2,0.001,16,1.4436865133076526,1.2628023028373676,1.241941679088348,26
12,32,32,0.1,0.0005,16,1.4665824997856864,1.255286079272625,1.2284550753178671,16
6,32,32,0.1,0.001,16,1.4687431915612654,1.2704795386642178,1.250753592508308,52
6,64,16,0.2,0.001,16,1.476906815459135,1.2715611351033012,1.250270405140424,29
6,32,16,0.2,0.0005,16,1.477035657234428,1.2584670646736988,1.2312939398099598,20
6,64,16,0.2,0.0005,16,1.477489595246025,1.2781375346084392,1.2546648466356234,20
12,64,32,0.1,0.0005,16,1.4798790635332137,1.3073038831353152,1.2857351728250277,18
12,64,16,0.2,0.0005,16,1.4871842047204464,1.3084798338512542,1.2849209999147446,16
6,64,32,0.1,0.001,16,1.5007395212035515,1.269058173025644,1.251840358897812,47
12,32,32,0.2,0.0005,16,1.5079887427452068,1.2975126147270188,1.2696551802571505,21
6,64,16,0.1,0.0005,16,1.5084005092982598,1.274962643037237,1.2591024022778392,17
12,64,16,0.1,0.001,16,1.5098320529518168,1.3029623948037614,1.2768953495023083,23
12,32,16,0.1,0.0005,16,1.5124862169545485,1.314903521910308,1.2879418160665892,17
6,32,32,0.2,0.0005,16,1.512551392385603,1.3026905941466438,1.2795712696932355,22
6,32,32,0.1,0.0005,16,1.5263617239020713,1.30998477141062,1.2881226016943623,21
12,64,32,0.1,0.001,16,1.5341004985349704,1.3241767299671914,1.297407962642415,19
6,64,16,0.1,0.001,16,1.5360037960481157,1.3204564063499327,1.2957214860521864,38
12,64,32,0.2,0.0005,16,1.537636371444551,1.3165168239424603,1.2891775574692625,16
6,64,32,0.1,0.0005,16,1.552097337061574,1.3087594542652325,1.2907881478180219,55
6,32,16,0.2,0.001,16,1.5679489514221412,1.328933922822273,1.3017019927496607,43
12,32,32,0.1,0.001,16,1.5696725809355485,1.320989611869053,1.291351926149066,25
6,32,16,0.1,0.001,16,1.5705257864529052,1.3078128337860069,1.2918494076260953,59
12,32,32,0.2,0.001,16,1.61159673136627,1.3620246607810234,1.3315610465063192,14
6,32,32,0.2,0.001,16,1.7242010780464085,1.450810205315549,1.4169969884030233,17
12,32,16,0.2,0.0005,16,1.8884147165222913,1.6053428945442036,1.5658733347443892,17
12,32,16,0.1,0.001,16,2.008765675168396,1.6526007967690617,1.6109320191983325,22
